#  N   Simpon's     Milne       3/8 
#-----------------------------------------
0.477121  -3.472173e+00  -1.722656e+00  -1.546624e+00
8.450980e-01  -5.369312e+00  -2.299046e+00  -1.290294e+00
1.041393e+00  -6.255789e+00  -2.546015e+00  -9.559991e-01
1.176091e+00  -6.840048e+00  -2.703491e+00  -9.833564e-01
1.278754e+00  -7.276522e+00  -2.819092e+00  -1.000674e+00
1.361728e+00  -7.625070e+00  -2.910407e+00  -9.284838e-01
1.431364e+00  -7.915242e+00  -2.985868e+00  -9.456323e-01
1.491362e+00  -8.163815e+00  -3.050163e+00  -9.592487e-01
1.544068e+00  -8.381233e+00  -3.106170e+00  -9.197547e-01
1.591065e+00  -8.574443e+00  -3.155782e+00  -9.320279e-01
1.633468e+00  -8.748299e+00  -3.200309e+00  -9.425297e-01
1.672098e+00  -8.906328e+00  -3.240696e+00  -9.154872e-01
1.707570e+00  -9.051173e+00  -3.277648e+00  -9.250159e-01
1.740363e+00  -9.184865e+00  -3.311703e+00  -9.334848e-01
1.770852e+00  -9.308999e+00  -3.343282e+00  -9.129587e-01
1.799341e+00  -9.424853e+00  -3.372720e+00  -9.207391e-01
1.826075e+00  -9.533461e+00  -3.400290e+00  -9.278155e-01
1.851258e+00  -9.635675e+00  -3.426215e+00  -9.112866e-01
1.875061e+00  -9.732211e+00  -3.450679e+00  -9.178584e-01
1.897627e+00  -9.823661e+00  -3.473839e+00  -9.239290e-01
1.919078e+00  -9.910537e+00  -3.495827e+00  -9.100988e-01
1.939519e+00  -9.993272e+00  -3.516755e+00  -9.157861e-01
1.959041e+00  -1.007225e+01  -3.536721e+00  -9.210984e-01
1.977724e+00  -1.014779e+01  -3.555809e+00  -9.092117e-01
1.995635e+00  -1.022018e+01  -3.574094e+00  -9.142238e-01
2.012837e+00  -1.028968e+01  -3.591640e+00  -9.189449e-01
2.029384e+00  -1.035651e+01  -3.608505e+00  -9.085239e-01
2.045323e+00  -1.042085e+01  -3.624739e+00  -9.130039e-01
2.060698e+00  -1.048289e+01  -3.640389e+00  -9.172515e-01
2.075547e+00  -1.054280e+01  -3.655494e+00  -9.079750e-01
2.089905e+00  -1.060072e+01  -3.670092e+00  -9.120249e-01
2.103804e+00  -1.065675e+01  -3.684214e+00  -9.158850e-01
2.117271e+00  -1.071105e+01  -3.697892e+00  -9.075268e-01
2.130334e+00  -1.076369e+01  -3.711153e+00  -9.112218e-01
2.143015e+00  -1.081479e+01  -3.724020e+00  -9.147589e-01
2.155336e+00  -1.086444e+01  -3.736518e+00  -9.071539e-01
2.167317e+00  -1.091269e+01  -3.748665e+00  -9.105512e-01
2.178977e+00  -1.095964e+01  -3.760483e+00  -9.138151e-01
2.190332e+00  -1.100540e+01  -3.771987e+00  -9.068389e-01
2.201397e+00  -1.104990e+01  -3.783194e+00  -9.099828e-01
2.212188e+00  -1.109333e+01  -3.794119e+00  -9.130125e-01
2.222716e+00  -1.113570e+01  -3.804777e+00  -9.065691e-01
2.232996e+00  -1.117709e+01  -3.815179e+00  -9.094949e-01
2.243038e+00  -1.121744e+01  -3.825337e+00  -9.123217e-01
2.252853e+00  -1.125698e+01  -3.835264e+00  -9.063356e-01
2.262451e+00  -1.129555e+01  -3.844969e+00  -9.090715e-01
2.271842e+00  -1.133337e+01  -3.854461e+00  -9.117208e-01
2.281033e+00  -1.137036e+01  -3.863751e+00  -9.061315e-01
2.290035e+00  -1.140646e+01  -3.872846e+00  -9.087006e-01
2.298853e+00  -1.144190e+01  -3.881754e+00  -9.111933e-01
2.307496e+00  -1.147670e+01  -3.890484e+00  -9.059515e-01
2.315970e+00  -1.151057e+01  -3.899041e+00  -9.083730e-01
2.324282e+00  -1.154406e+01  -3.907433e+00  -9.107267e-01
2.332438e+00  -1.157690e+01  -3.915666e+00  -9.057916e-01
2.340444e+00  -1.160904e+01  -3.923746e+00  -9.080815e-01
2.348305e+00  -1.164068e+01  -3.931678e+00  -9.103108e-01
2.356026e+00  -1.167171e+01  -3.939468e+00  -9.056487e-01
2.363612e+00  -1.170223e+01  -3.947121e+00  -9.078205e-01
2.371068e+00  -1.173238e+01  -3.954641e+00  -9.099379e-01
2.378398e+00  -1.176151e+01  -3.962033e+00  -9.055201e-01
2.385606e+00  -1.179052e+01  -3.969301e+00  -9.075855e-01
2.392697e+00  -1.181913e+01  -3.976450e+00  -9.096016e-01
2.399674e+00  -1.184701e+01  -3.983483e+00  -9.054038e-01
2.406540e+00  -1.187435e+01  -3.990404e+00  -9.073727e-01
2.413300e+00  -1.190145e+01  -3.997217e+00  -9.092968e-01
2.419956e+00  -1.192841e+01  -4.003924e+00  -9.052981e-01
2.426511e+00  -1.195447e+01  -4.010529e+00  -9.071791e-01
2.432969e+00  -1.198007e+01  -4.017035e+00  -9.090193e-01
2.439333e+00  -1.200643e+01  -4.023445e+00  -9.052017e-01
2.445604e+00  -1.203161e+01  -4.029762e+00  -9.070023e-01
2.451786e+00  -1.205712e+01  -4.035989e+00  -9.087655e-01
2.457882e+00  -1.208062e+01  -4.042127e+00  -9.051133e-01
2.463893e+00  -1.210499e+01  -4.048180e+00  -9.068402e-01
2.469822e+00  -1.212874e+01  -4.054150e+00  -9.085325e-01
2.475671e+00  -1.215268e+01  -4.060038e+00  -9.050321e-01
2.481443e+00  -1.217526e+01  -4.065848e+00  -9.066909e-01
2.487138e+00  -1.219776e+01  -4.071581e+00  -9.083180e-01
