#  N   Simpon's     Milne     Qags_GSL
#-----------------------------------------
0.698970004336018857493684208748  -4.666734680945194391199493111344e+00  -6.300865841769955011386628029868e+00  2.312856185683747511916408257093e+00
9.542425094393248707902444039064e-01  -5.868439719048276437263211846584e+00  -8.096495049990481973622991063166e+00  2.312856185683747511916408257093e+00
1.113943352306836720444493948889e+00  -6.572356415958711117752955033211e+00  -9.151070841655936760616896208376e+00  2.312856185683747511916408257093e+00
1.230448921378273885451903879584e+00  -7.071954359856595928590650146361e+00  -9.900011077488450439432199345902e+00  2.312856185683747511916408257093e+00
1.322219294733919303652669441362e+00  -7.459521731452403159323694126215e+00  -1.048114868148778811018928536214e+01  2.312856185683747511916408257093e+00
1.397940008672037714987368417496e+00  -7.776207223771591792171875567874e+00  -1.095606292345489762851684645284e+01  2.312856185683747511916408257093e+00
1.462397997898956081286314656609e+00  -8.043970568707333512747936765663e+00  -1.135764080851526358628689195029e+01  2.312856185683747511916408257093e+00
1.518513939877887519713794972631e+00  -8.275922868992362069207047170494e+00  -1.170551296568934063202505058143e+01  2.312856185683747511916408257093e+00
1.568201724066994984241318888962e+00  -8.480522436925369333948765415698e+00  -1.201250751412594830469515727600e+01  2.312856185683747511916408257093e+00
1.612783856719735453566499927547e+00  -8.663544756449136130527222121600e+00  -1.228704235515106546472452464513e+01  2.312856185683747511916408257093e+00
1.653212513775343728283928612655e+00  -8.829109814783185683495503326412e+00  -1.253528159752316639696800848469e+01  2.312856185683747511916408257093e+00
1.690196080028513625492792016303e+00  -8.980260030597992937373419408686e+00  -1.276195345506561018567026621895e+01  2.312856185683747511916408257093e+00
1.724275869600789157232156867394e+00  -9.119304877122354824336980527733e+00  -1.297291706139693623356379248435e+01  2.312856185683747511916408257093e+00
1.755874855672491463565165759064e+00  -9.248040966596720480197291180957e+00  -1.316099713518779523724333557766e+01  2.312856185683747511916408257093e+00
1.785329835010767141056930995546e+00  -9.367892010954262715927143290173e+00  -1.334208992148196948335225897608e+01  2.312856185683747511916408257093e+00
1.812913356642855466915875695122e+00  -9.480005762675201452793771750294e+00  -1.350987701774907279173021379393e+01  2.312856185683747511916408257093e+00
1.838849090737255220773249675403e+00  -9.585320804509736447585055429954e+00  -1.367620843951559628237646393245e+01  2.312856185683747511916408257093e+00
1.863322860120455892740665149176e+00  -9.684612853735677262534409237560e+00  -1.382597075984892853739438578486e+01  2.312856185683747511916408257093e+00
1.886490725172481841553917547571e+00  -9.778535997055467277050411212258e+00  -1.395604913610964104009326547384e+01  2.312856185683747511916408257093e+00
1.908485018878649741580488807813e+00  -9.867640766690989551079837838188e+00  -1.409263185388164707489977445221e+01  2.312856185683747511916408257093e+00
1.929418925714292853967890550848e+00  -9.952397158336067306549921340775e+00  -1.419908718479593545680472743697e+01  2.312856185683747511916408257093e+00
1.949390006644912798350333105191e+00  -1.003321003567167757353217893979e+01  -1.435744967689118389841951284325e+01  2.312856185683747511916408257093e+00
1.968482948553935019120331162412e+00  -1.011043241911628243201448640320e+01  -1.441296700474101655231606855523e+01  2.312856185683747511916408257093e+00
1.986771734266244759936625996488e+00  -1.018436368670058378427256684517e+01  -1.452494076418494728386576753110e+01  2.312856185683747511916408257093e+00
2.004321373782642634608919252059e+00  -1.025528225544902660715251840884e+01  -1.471399700040499602948784740875e+01  2.312856185683747511916408257093e+00
2.021189299069938272168656112626e+00  -1.032341190939154174088798754383e+01  -1.467620843951559628237646393245e+01  2.312856185683747511916408257093e+00
2.037426497940623804083770664874e+00  -1.038897793608139963339453970548e+01  -1.471399700040499602948784740875e+01  2.312856185683747511916408257093e+00
2.053078443483419945891910174396e+00  -1.045214177518083076279253873508e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.068185861746161702257040815311e+00  -1.051311169650266919006753596477e+01  -1.505641968122720264489089458948e+01  2.312856185683747511916408257093e+00
2.082785370316449835570438153809e+00  -1.057200024937607274466699891491e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.096910013008056239414145238698e+00  -1.062895629366280303429448395036e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.110589710299248800140503590228e+00  -1.068411169381462855199060868472e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.123851640967085785405288334005e+00  -1.073756781584612873814421618590e+01  -1.505641968122720264489089458948e+01  2.312856185683747511916408257093e+00
2.136720567156406680453528679209e+00  -1.078942640234943795007893641014e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.149219112655379682053080614423e+00  -1.083978937183924351472796843154e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.161368002234974827757696402841e+00  -1.088870073597403731469057674985e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.173186268412274024797170568490e+00  -1.093633295944226091478412854485e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.184691430817598867264450746006e+00  -1.098263536710879861857392825186e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
