#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
0.477121  -1.683044e+00  -3.472262e+00  -6.313417e+00
6.020600e-01  -2.034228e+00  -1.123349e+00  -7.839390e+00
6.989700e-01  -2.283755e+00  -4.667877e+00  -7.839390e+00
8.450980e-01  -2.635683e+00  -5.373791e+00  -7.097897e+00
9.542425e-01  -2.885488e+00  -5.884180e+00  -7.839390e+00
1.079181e+00  -3.161968e+00  -1.734328e+00  -7.839390e+00
1.204120e+00  -3.431365e+00  -1.874076e+00  -7.839390e+00
1.342423e+00  -3.723655e+00  -2.024214e+00  -7.839390e+00
1.477121e+00  -4.003981e+00  -2.167192e+00  -7.839390e+00
1.623249e+00  -4.304661e+00  -2.319723e+00  -7.097897e+00
1.763428e+00  -4.591196e+00  -2.464297e+00  -7.097897e+00
1.908485e+00  -4.886124e+00  -7.097897e+00  -6.759172e+00
2.053078e+00  -5.175201e+00  -6.340092e+00  -7.097897e+00
2.198657e+00  -5.471073e+00  -2.906787e+00  -6.340092e+00
2.344392e+00  -5.799010e+00  -7.097897e+00  -6.340092e+00
2.489958e+00  -5.884180e+00  -7.839390e+00  -7.097897e+00
2.635484e+00  -6.190052e+00  -3.345805e+00  -6.571210e+00
