# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001, b= 8
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.0000  0.000000000000000e+00  1.000000000000000e+00  5.000000000000000e-01  0.000000000000000e+00
0.0100  1.009086458110116e-02  1.017270474963919e+00  5.174196096166582e-01  2.009955753252243e-03
0.0200  2.032780466912636e-02  1.029259488835351e+00  5.296875476788044e-01  8.156628807748922e-03
0.0300  3.065933622485469e-02  1.036233021160356e+00  5.368894370715594e-01  1.855475555964397e-02
0.0400  4.103662951694085e-02  1.038455812022178e+00  5.391952367613202e-01  3.324092557100739e-02
0.0500  5.141349258902412e-02  1.036190546313180e+00  5.368454241344032e-01  5.217758271621881e-02
0.0600  6.174634692292488e-02  1.029697108241494e+00  5.301380673604478e-01  7.525793168355899e-02
0.0700  7.199419598700522e-02  1.019231903408498e+00  5.194168364628554e-01  1.023115615015278e-01
0.0800  8.211858733186338e-02  1.005047245742122e+00  5.050599830869125e-01  1.331106120746712e-01
0.0900  9.208356886818644e-02  9.873908065341932e-01  4.874703024141223e-01  1.673763244897361e-01
0.1000  1.018556399339395e-01  9.665051228065921e-01  4.670660762056928e-01  2.047858308283176e-01
0.1100  1.114036977302527e-01  9.426271622199548e-01  4.442729834774225e-01  2.449790541686404e-01
0.1200  1.206989796774972e-01  9.159879417391604e-01  4.195169547057718e-01  2.875656041803569e-01
0.1300  1.297150022152321e-01  8.868121972809243e-01  3.932179366231105e-01  3.321315680458912e-01
0.1400  1.384274965420522e-01  8.553181015896784e-01  3.657845274534857e-01  3.782461102417051e-01
0.1500  1.468143417639708e-01  8.217170276177024e-01  3.376094367384359e-01  4.254678078707588e-01
0.1600  1.548554958929160e-01  7.862133547233777e-01  3.090657195726939e-01  4.733506606652118e-01
0.1700  1.625329251102749e-01  7.490043150467013e-01  2.805037319792891e-01  5.214497264097047e-01
0.1800  1.698305316842696e-01  7.102798774730855e-01  2.522487521715907e-01  5.693263433237216e-01
0.1900  1.767340809043397e-01  6.702226666542610e-01  2.245992114485743e-01  6.165529108574279e-01
0.2000  1.832311273707078e-01  6.290079146181409e-01  1.978254783261312e-01  6.627172093854532e-01
0.2100  1.893109409529585e-01  5.868034425671241e-01  1.721691401043141e-01  7.074262474272777e-01
0.2200  1.949644327078059e-01  5.437696705359342e-01  1.478427272973792e-01  7.503096322927942e-01
0.2300  2.001840810233156e-01  5.000596526550951e-01  1.250298281067672e-01  7.910224664687852e-01
0.2400  2.049638582346888e-01  4.558191358440223e-01  1.038855423007956e-01  8.292477776561494e-01
0.2500  2.092991579353595e-01  4.111866398379089e-01  8.453722639059512e-02  8.646984951752156e-01
0.2600  2.131867231866038e-01  3.662935565346532e-01  6.708548477940260e-02  8.971189895190015e-01
0.2700  2.166245758091409e-01  3.212642667315292e-01  5.160536453927358e-02  9.262861951976206e-01
0.2800  2.196119469213232e-01  2.762162724057339e-01  3.814771457085929e-02  9.520103397296097e-01
0.2900  2.221492088704788e-01  2.312603427779500e-01  2.674067307088746e-02  9.741353037482332e-01
0.3000  2.242378086867868e-01  1.865006724832748e-01  1.739125041835687e-02  9.925386387539409e-01
0.3100  2.258802031727369e-01  1.420350502589443e-01  1.008697775103041e-02  1.007131270109582e+00
0.3200  2.270797957257398e-01  9.795503664290385e-02  4.797594601856318e-03  1.017856913493395e+00
0.3300  2.278408749768172e-01  5.434614926117499e-02  1.476751969758956e-03  1.024691233245919e+00
0.3400  2.281685553144967e-01  1.128805436484679e-02  6.371008567186829e-05  1.027640770918719e+00
0.3500  2.280687193500496e-01  -3.114523664082661e-02  4.850128827065441e-04  1.026741671901210e+00
0.3600  2.275479623680435e-01  -7.288516685255512e-02  2.656123773562400e-03  1.022058237310459e+00
0.3700  2.266135387947955e-01  -1.138684308091643e-01  6.483009767470722e-03  1.013681327418717e+00
0.3800  2.252733107067141e-01  -1.540367697378541e-01  1.186366321563634e-02  1.001726641802836e+00
0.3900  2.235356983906705e-01  -1.933367660539177e-01  1.868955255409364e-02  9.863329001641319e-01
0.4000  2.214096329594305e-01  -2.317196379886548e-01  2.684699531479662e-02  9.676599464190515e-01
0.4100  2.189045110167862e-01  -2.691410351498209e-01  3.621844840075855e-02  9.458867972299307e-01
0.4200  2.160301513593252e-01  -3.055608357508902e-01  4.668371217239124e-02  9.212096546576852e-01
0.4300  2.127967536947420e-01  -3.409429461797547e-01  5.812104627486557e-02  8.938399010984138e-01
0.4400  2.092148593502086e-01  -3.752551035142974e-01  7.040819635676303e-02  8.640020931346009e-01
0.4500  2.052953139385518e-01  -4.084686815316265e-01  8.342333189609266e-02  8.319319694073820e-01
0.4600  2.010492319448109e-01  -4.405585006996659e-01  9.704589626936876e-02  7.978744861150294e-01
0.4700  1.964879631911395e-01  -4.715026425843017e-01  1.111573709819899e-01  7.620818922780562e-01
0.4800  1.916230611339524e-01  -5.012822690523913e-01  1.256419566331570e-01  7.248118554944122e-01
0.4900  1.864662529436678e-01  -5.298814466006561e-01  1.403871737258020e-01  6.863256475484586e-01
0.5000  1.810294113143351e-01  -5.572869760928010e-01  1.552843868613291e-01  6.468863979421745e-01
0.5100  1.753245279478449e-01  -5.834882281421013e-01  1.702292561902044e-01  6.067574221920213e-01
0.5200  1.693636886552558e-01  -6.084769843341655e-01  1.851221202322001e-01  5.662006305841966e-01
0.5300  1.631590500160336e-01  -6.322472844445688e-01  1.998683143437657e-01  5.254750220073587e-01
0.5400  1.567228175346356e-01  -6.547952797685344e-01  2.143784292035766e-01  4.848352664867853e-01
0.5500  1.500672252328825e-01  -6.761190926447573e-01  2.285685137193850e-01  4.445303791276768e-01
0.5600  1.432045166159021e-01  -6.962186822227773e-01  2.423602267380103e-01  4.048024873374053e-01
0.5700  1.361469269490899e-01  -7.150957164929480e-01  2.556809418732813e-01  3.658856924355041e-01
0.5800  1.289066667834841e-01  -7.327534505699673e-01  2.684638096610968e-01  3.280050260740281e-01
0.5900  1.214959066671727e-01  -7.491966111950548e-01  2.806477811130770e-01  2.913755012769163e-01
0.6000  1.139267629808200e-01  -7.644312873981162e-01  2.921775965765707e-01  2.562012573620278e-01
0.6100  1.062112848360985e-01  -7.784648272395657e-01  3.030037436245634e-01  2.226747975301201e-01
0.6200  9.836144197671295e-02  -7.913057405317900e-01  3.130823874992823e-01  1.909763174873830e-01
0.6300  9.038911362279561e-02  -8.029636074224736e-01  3.223752774224562e-01  1.612731231082990e-01
0.6400  8.230607820070947e-02  -8.134489927060764e-01  3.308496318672652e-01  1.337191348394516e-01
0.6500  7.412400390170716e-02  -8.227733657155899e-01  3.384780056654799e-01  1.084544762883018e-01
0.6600  6.585444001443393e-02  -8.309490256342122e-01  3.452381416012233e-01  8.560514422973066e-02
0.6700  5.750880897792376e-02  -8.379890320557026e-01  3.511128089228267e-01  6.528275709320398e-02
0.6800  4.909839910349772e-02  -8.439071406128191e-01  3.560896309886523e-01  4.758437886071116e-02
0.6900  4.063435791581960e-02  -8.487177434853240e-01  3.601609040534101e-01  3.259241520627057e-02
0.7000  3.212768606528449e-02  -8.524358145925003e-01  3.633234089999898e-01  2.037457863802862e-02
0.7100  2.358923176589215e-02  -8.550768592698595e-01  3.655782176294036e-01  1.098391936022465e-02
0.7200  1.502968571478264e-02  -8.566568682256724e-01  3.669304949391086e-01  4.458918551179481e-03
0.7300  6.459576451670133e-03  -8.571922755700428e-01  3.673892986484741e-01  8.236407518148206e-04
0.7400  -2.110733881505719e-03  -8.566999207073960e-01  3.669673770700293e-01  8.794207407333452e-05
0.7500  -1.067105341829560e-02  -8.551970138823908e-01  3.656809662766791e-01  2.247730967259177e-03
0.7600  -1.921136411830763e-02  -8.527011051693261e-01  3.635495873784950e-01  7.285278320257931e-03
0.7700  -2.772182502401444e-02  -8.492300566960191e-01  3.605958445979620e-01  1.516957372655387e-02
0.7800  -3.619277525510668e-02  -8.448020178948306e-01  3.568452247195888e-01  2.585672479489875e-02
0.7900  -4.461473676963749e-02  -8.394354035759202e-01  3.523258983883340e-01  3.929039644957937e-02
0.8000  -5.297841691916822e-02  -8.331488746208894e-01  3.470685236410272e-01  5.540228722887530e-02
0.8100  -6.127471082312511e-02  -8.259613210986314e-01  3.411060519754983e-01  7.411263965709779e-02
0.8200  -6.949470358561535e-02  -8.178918476094164e-01  3.344735371929723e-01  9.533078183335579e-02
0.8300  -7.762967237603446e-02  -8.089597606679250e-01  3.272079471899532e-01  1.189556974478985e-01
0.8400  -8.567108839292918e-02  -7.991845579410647e-01  3.193479788257275e-01  1.448766215037032e-01
0.8500  -9.361061872876549e-02  -7.885859191618971e-01  3.109338759502071e-01  1.729736590862454e-01
0.8600  -1.014401281514939e-01  -7.771836985468354e-01  3.020072506434692e-01  2.031184245876043e-01
0.8700  -1.091516808171055e-01  -7.649979185493845e-01  2.926109076924454e-01  2.351746988518380e-01
0.8800  -1.167375419257378e-01  -7.520487647900467e-01  2.827886723111175e-01  2.689991017666906e-01
0.8900  -1.241901793323158e-01  -7.383565820085742e-01  2.725852210976922e-01  3.044417778820354e-01
0.9000  -1.315022651212125e-01  -7.239418708914626e-01  2.620459162149155e-01  3.413470926880038e-01
0.9100  -1.386666771529726e-01  -7.088252856344168e-01  2.512166427773563e-01  3.795543372355944e-01
0.9200  -1.456765005897775e-01  -6.930276321064580e-01  2.401436494315421e-01  4.188984388298410e-01
0.9300  -1.525250294050304e-01  -6.765698664893144e-01  2.288733921206844e-01  4.592106755706002e-01
0.9400  -1.592057678812108e-01  -6.594730942727673e-01  2.174523810348492e-01  5.003193925589862e-01
0.9500  -1.657124320989923e-01  -6.417585694936287e-01  2.059270307592544e-01  5.420507176287770e-01
0.9600  -1.720389514195262e-01  -6.234476941130223e-01  1.943435136474223e-01  5.842292745021308e-01
0.9700  -1.781794699607758e-01  -6.045620174335750e-01  1.827476164616771e-01  6.266788913081136e-01
0.9800  -1.841283480678396e-01  -5.851232354649967e-01  1.711846003405130e-01  6.692233024412630e-01
0.9900  -1.898801637763147e-01  -5.651531901533015e-01  1.596990641702269e-01  7.116868417761846e-01
1.0000  -1.954297142669436e-01  -5.446738683955906e-01  1.483348114565086e-01  7.538951252934256e-01
1.0100  -2.007720173090355e-01  -5.237074007688578e-01  1.371347208100365e-01  7.956757212120855e-01
1.0200  -2.059023126894714e-01  -5.022760599076761e-01  1.261406201781897e-01  8.368588057662106e-01
1.0300  -2.108160636234835e-01  -4.804022584718745e-01  1.153931649724388e-01  8.772778028054864e-01
1.0400  -2.155089581428376e-01  -4.581085466513840e-01  1.049317202575216e-01  9.167700054464092e-01
1.0500  -2.199769104565525e-01  -4.354176091613462e-01  9.479424718389141e-02  9.551771780484821e-01
1.0600  -2.242160622788481e-01  -4.123522616862834e-01  8.501719385889658e-02  9.923461368413273e-01
1.0700  -2.282227841186290e-01  -3.889354467376647e-01  7.563539086451342e-02  1.028129307583295e+00
1.0800  -2.319936765244826e-01  -3.651902288945202e-01  6.668195164001603e-02  1.062385258690498e+00
1.0900  -2.355255712788911e-01  -3.411397894018799e-01  5.818817795657948e-02  1.094979208337407e+00
1.1000  -2.388155325351309e-01  -3.168074201067267e-01  5.018347071734002e-02  1.125783504096504e+00
1.1100  -2.418608578901513e-01  -2.922165167158521e-01  4.269524632077295e-02  1.154678073755086e+00
1.1200  -2.446590793865938e-01  -2.673905713644890e-01  3.574885882731395e-02  1.181550846022361e+00
1.1300  -2.472079644370213e-01  -2.423531644888714e-01  2.936752816888498e-02  1.206298139919471e+00
1.1400  -2.495055166633789e-01  -2.171279559999219e-01  2.357227463835200e-02  1.228825021729154e+00
1.1500  -2.515499766447002e-01  -1.917386757591122e-01  1.838185989092898e-02  1.249045628470300e+00
1.1600  -2.533398225661014e-01  -1.662091133611664e-01  1.381273468215254e-02  1.266883456955693e+00
1.1700  -2.548737707621680e-01  -1.405631072316904e-01  9.878993557313840e-03  1.282271617588603e+00
1.1800  -2.561507761479394e-01  -1.148245330510139e-01  6.592336695191688e-03  1.295153052155518e+00
1.1900  -2.571700325308203e-01  -8.901729151853068e-02  3.962039094647537e-03  1.305480714977901e+00
1.2000  -2.579309727969088e-01  -6.316529547460792e-02  1.994927276197262e-03  1.313217716895292e+00
1.2100  -2.584332689654117e-01  -3.729245639973265e-02  6.953636521629804e-04  1.318337431665003e+00
1.2200  -2.586768321050290e-01  -1.142267031295482e-02  6.523869853922966e-05  1.320823564479817e+00
1.2300  -2.586618121064190e-01  1.442019690610963e-02  1.039710394054868e-04  1.320670182424109e+00
1.2400  -2.583885973051102e-01  4.021232474543654e-02  8.085155307162239e-04  1.317881706810308e+00
1.2500  -2.578578139494973e-01  6.592995381079919e-02  2.173379404747058e-03  1.312472867461252e+00
