# omega0=2, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.10, t_end=100.00, h=0.01
#   t          x(t)                 v(t)       
0.10  -8.000000000000000e-01  1.234000000000000e-01
2.208304866765306e-01 -7.581834693332499e-01 5.644859445311836e-01
3.416609733530609e-01 -6.649995350390960e-01 9.704259813485767e-01
4.624914600295912e-01 -5.258881544747134e-01 1.321242415139741e+00
5.833219467061219e-01 -3.487647557735423e-01 1.596192218536254e+00
7.041524333826528e-01 -1.439731499482274e-01 1.776447311476689e+00
8.249829200591836e-01 7.619589601585437e-02 1.849359710132667e+00
9.458134067357145e-01 2.984997336230794e-01 1.812294040495532e+00
1.066643893412245e+00 5.100584734446518e-01 1.673781593865293e+00
1.187474380088776e+00 6.995939768626036e-01 1.451153925299816e+00
1.308304866765307e+00 8.582240122084664e-01 1.165892026788425e+00
1.429135353441838e+00 9.796721723116828e-01 8.389853566719426e-01
1.549965840118369e+00 1.060011784239961e+00 4.880459775325564e-01
1.670796326794900e+00 1.097196356231597e+00 1.266376693806798e-01
1.791626813471430e+00 1.090620289863619e+00 -2.346792239823377e-01
1.912457300147961e+00 1.040868437937422e+00 -5.864038915560470e-01
2.033287786824492e+00 9.497157281537665e-01 -9.180180128511204e-01
2.154118273501023e+00 8.203514644477827e-01 -1.216453945282328e+00
2.274948760177554e+00 6.577227877718500e-01 -1.465759344030398e+00
2.395779246854084e+00 4.688184340906200e-01 -1.648481220276938e+00
2.516609733530615e+00 2.626759493018375e-01 -1.748797378857722e+00
2.637440220207146e+00 4.994398451134568e-02 -1.756520326205348e+00
2.758270706883677e+00 -1.580087198699674e-01 -1.670283991265046e+00
2.879101193560208e+00 -3.502346817322608e-01 -1.498306547344811e+00
2.999931680236739e+00 -5.172671606978909e-01 -1.256346490956596e+00
3.120762166913269e+00 -6.518145619964832e-01 -9.639852670676577e-01
3.241592653589800e+00 -7.489949922136485e-01 -6.410163713474937e-01
3.362423140266331e+00 -8.062100491224559e-01 -3.052158354901304e-01
3.483253626942862e+00 -8.228515706719113e-01 2.822260557133084e-02
3.604084113619393e+00 -8.000195325775719e-01 3.460520348634867e-01
3.724914600295924e+00 -7.403519528305044e-01 6.358811368971590e-01
3.845745086972455e+00 -6.479779131577801e-01 8.853325722286686e-01
3.966575573648985e+00 -5.285298525992129e-01 1.081969104834104e+00
