    x    exact    cubic    polynomial   
0  9.341764  9.340000  9.340000  
5  10.500801  10.802483  56.901156  
10  11.876772  12.327346  63.081869  
15  13.523094  13.976966  50.238446  
20  15.508768  15.813725  32.497149  
25  17.923007  17.900000  17.900000  
30  20.880647  20.356112  10.160989  
35  24.527397  23.534144  10.077750  
40  29.042154  27.844120  16.641228  
45  34.629454  33.696064  27.883326  
50  41.486772  41.500000  41.500000  
55  49.717954  51.340749  55.284700  
60  59.152974  62.002319  67.404561  
65  69.062416  71.943515  76.549173  
70  77.903078  79.623140  81.979257  
75  83.502123  83.500000  83.500000  
80  84.051299  82.509691  81.381310  
85  79.354238  77.494980  76.244674  
90  70.980283  69.775422  68.933798  
95  61.133700  60.670576  60.383650  
100  51.521871  51.500000  51.500000  
105  43.023060  43.348485  43.059022  
110  35.893835  36.361762  35.633966  
115  30.067051  30.450797  29.553401  
120  25.354628  25.526554  24.892956  
125  21.549616  21.500000  21.500000  
130  18.466874  18.274769  19.048105  
135  15.954060  15.725172  17.115660  
140  13.890549  13.718191  15.280424  
145  12.182451  12.120806  13.219293  
150  10.757123  10.800000  10.800000  
155  9.558356  9.643561  8.148971  
160  8.542495  8.622511  5.676959  
165  7.675445  7.728681  4.041616  
170  6.930398  6.953900  4.023558  
175  6.286122  6.290000  6.290000  
180  5.725678  5.726748  11.017455  
185  5.235452  5.245664  17.342493  
190  4.804421  4.826206  22.606986  
195  4.423599  4.447832  21.361757  
