# uniform1 uniform2 gaussian1 gaussian2
  0.999963 0.730977 -2.273342 -0.617308
  0.151382 0.752787 0.236492 0.453601
  0.542718 0.899317 0.587163 0.046820
  0.455224 0.821004 1.680373 -0.282522
  0.606837 0.708635 -1.589456 0.196893
  0.263146 0.294825 0.163386 0.938163
  0.948140 0.250735 -1.336812 -2.939536
  0.652966 0.133968 1.289768 -1.583130
  0.057965 0.778449 -0.298673 2.092597
  0.762126 0.950717 -0.065739 0.841267
  0.798389 0.952702 -0.627427 1.461651
  0.764178 0.778098 -0.005638 -0.398931
  0.938824 0.605467 2.404906 0.346233
  0.464501 0.666918 1.817834 -1.489833
  0.469021 0.391512 -1.098568 0.863105
  0.514416 0.889067 0.654312 1.060385
  0.214811 0.193046 -1.254310 1.915620
  0.923314 0.981799 0.502546 0.235455
  0.957986 0.692404 0.573371 -0.003748
  0.842170 0.281192 0.161060 0.049578
  0.670321 0.885073 -0.285598 -0.007086
  0.040399 0.715838 -0.077781 -1.486914
  0.522579 0.913848 -1.286034 0.378163
  0.865137 0.900534 0.965624 -0.074732
  0.037549 0.908092 2.633712 -0.203198
  0.281601 0.313526 -0.171666 0.608593
  0.093904 0.914275 2.300957 1.306117
  0.750711 0.713289 -1.259240 0.773976
  0.418610 0.484177 -0.799191 -0.037462
  0.737492 0.593056 0.326335 -1.074364
  0.921944 0.407640 -1.565551 -0.440786
  0.029763 0.441517 0.856271 0.121703
  0.169486 0.513844 0.309389 -0.461730
  0.338026 0.692328 -0.188696 -0.070520
  0.147770 0.036001 -0.983752 -0.929625
  0.443663 0.484018 0.890846 0.171604
  0.205230 0.697981 -0.442674 1.540002
  0.810872 0.430286 -0.483501 1.107202
  0.787651 0.079943 2.067348 -0.706346
  0.268445 0.295229 -0.403292 0.856030
  0.940959 0.007123 0.153796 -0.390991
  0.436559 0.705443 -0.015274 -1.024568
  0.915510 0.685801 -1.095720 -0.219864
  0.438463 0.419797 -0.485323 -0.292253
  0.215962 0.761965 -0.480916 -1.040702
  0.143520 0.080542 -0.980059 -0.958300
  0.030278 0.013949 0.993280 0.117539
  0.987919 0.168461 -0.852373 0.480829
  0.336530 0.821490 0.242762 1.461805
  0.076998 0.612634 1.209586 1.594397
  0.581645 0.960384 0.184069 0.170860
  0.907654 0.658282 0.238764 0.146499
  0.655551 0.327076 -0.517079 0.284405
  0.618907 0.149082 -0.382294 0.247614
  0.259998 0.738940 1.636417 -0.685022
  0.000025 0.346182 -0.016351 1.560635
  0.521197 0.606476 1.383063 -1.368922
  0.465719 0.759383 0.152409 1.621873
  0.750986 0.186339 0.274161 -1.841453
  0.740086 0.347567 -0.591043 0.589985
  0.039224 0.703834 -0.679309 -0.071137
  0.947124 0.233345 -0.988508 0.954247
  0.839854 0.225388 0.312593 0.544934
  0.132907 0.102468 1.266286 -0.912651
  0.817447 0.646491 -1.131943 -0.667442
  0.684122 0.676468 -1.092914 0.298238
  0.620272 0.204661 -0.995961 1.141655
  0.896661 0.430554 -0.088804 0.413970
  0.180596 0.126254 0.683675 0.511702
  0.206092 0.464604 2.566355 0.642957
  0.231064 0.022971 -2.072814 1.274972
  0.218755 0.110729 -1.238020 1.392108
  0.007129 0.591770 -1.807218 0.258087
  0.956667 0.948292 -0.192841 0.247501
  0.681077 0.141826 -0.423216 -0.563648
  0.916075 0.437456 -0.303761 -0.216363
  0.335426 0.677900 0.729175 -0.388613
  0.075828 0.050410 0.753483 -0.278721
  0.940173 0.277020 1.587941 0.717635
  0.240086 0.017134 -0.206777 1.119225
  0.657360 0.698901 -0.248582 0.987635
  0.458859 0.840099 0.267577 0.176552
  0.905637 0.010373 -0.079584 -0.518102
  0.368765 0.775256 0.876224 1.398434
  0.097245 0.076538 -0.219266 -0.533690
  0.791307 0.339459 0.647995 -0.762361
  0.256925 0.582579 -1.502085 -0.409033
  0.610728 0.297408 -2.659100 -0.892686
  0.282430 0.205167 -0.449490 -0.500560
  0.824779 0.286212 0.713420 -0.124645
  0.990514 0.399256 0.176541 -1.660575
  0.822319 0.530044 -0.782193 0.340690
  0.547965 0.113777 -0.527671 -0.442524
  0.134677 0.030385 1.737575 -1.408611
  0.611012 0.490334 1.036850 0.846392
  0.093014 0.879295 0.294335 0.554195
  0.016754 0.574542 1.392372 0.682459
  0.028603 0.709820 -1.908746 -0.669048
  0.327689 0.078281 0.094456 0.185650
  0.708537 0.596836 1.629687 1.258729
