# Ising model in 2dimensions at kT = 2
#  time     energy  
      0     -912.000
      1    -1560.000
      2    -1796.000
      3    -2064.000
      4    -2160.000
      5    -2168.000
      6    -2272.000
      7    -2320.000
      8    -2356.000
      9    -2284.000
     10    -2312.000
     11    -2228.000
     12    -2244.000
     13    -2348.000
     14    -2236.000
     15    -2400.000
     16    -2344.000
     17    -2372.000
     18    -2360.000
     19    -2324.000
     20    -2440.000
     21    -2328.000
     22    -2380.000
     23    -2364.000
     24    -2420.000
     25    -2312.000
     26    -2304.000
     27    -2376.000
     28    -2412.000
     29    -2400.000
     30    -2404.000
     31    -2488.000
     32    -2340.000
     33    -2296.000
     34    -2356.000
     35    -2396.000
     36    -2432.000
     37    -2380.000
     38    -2408.000
     39    -2460.000
     40    -2448.000
     41    -2488.000
     42    -2312.000
     43    -2408.000
     44    -2348.000
     45    -2440.000
     46    -2508.000
     47    -2508.000
     48    -2460.000
     49    -2548.000
     50    -2580.000
     51    -2568.000
     52    -2596.000
     53    -2700.000
     54    -2616.000
     55    -2580.000
     56    -2604.000
     57    -2576.000
     58    -2584.000
     59    -2580.000
     60    -2584.000
     61    -2568.000
     62    -2580.000
     63    -2608.000
     64    -2544.000
     65    -2632.000
     66    -2484.000
     67    -2648.000
     68    -2748.000
     69    -2644.000
     70    -2600.000
     71    -2604.000
     72    -2488.000
     73    -2488.000
     74    -2464.000
     75    -2532.000
     76    -2596.000
     77    -2532.000
     78    -2532.000
     79    -2576.000
     80    -2508.000
     81    -2560.000
     82    -2492.000
     83    -2484.000
     84    -2524.000
     85    -2476.000
     86    -2460.000
     87    -2556.000
     88    -2560.000
     89    -2568.000
     90    -2480.000
     91    -2560.000
     92    -2540.000
     93    -2592.000
     94    -2600.000
     95    -2592.000
     96    -2564.000
     97    -2556.000
     98    -2632.000
     99    -2616.000
    100    -2596.000
    110    -2416.000
    120    -2540.000
    130    -2412.000
    140    -2496.000
    150    -2676.000
    160    -2492.000
    170    -2408.000
    180    -2552.000
    190    -2660.000
    200    -2504.000
    210    -2508.000
    220    -2568.000
    230    -2636.000
    240    -2656.000
    250    -2692.000
    260    -2884.000
    270    -2724.000
    280    -2716.000
    290    -2792.000
    300    -2840.000
    310    -2776.000
    320    -2700.000
    330    -2760.000
    340    -2700.000
    350    -2756.000
    360    -2708.000
    370    -2832.000
    380    -2748.000
    390    -2744.000
    400    -2812.000
    410    -2916.000
    420    -2732.000
    430    -2796.000
    440    -2700.000
    450    -2744.000
    460    -2892.000
    470    -2920.000
    480    -2696.000
    490    -2840.000
    500    -2880.000
    510    -2776.000
    520    -2800.000
    530    -2572.000
    540    -2732.000
    550    -2720.000
    560    -2732.000
    570    -2928.000
    580    -2756.000
    590    -2792.000
    600    -2872.000
    610    -2736.000
    620    -2836.000
    630    -2756.000
    640    -2796.000
    650    -2788.000
    660    -2796.000
    670    -2808.000
    680    -2808.000
    690    -2816.000
    700    -2748.000
    710    -2728.000
    720    -2772.000
    730    -2864.000
    740    -2848.000
    750    -2860.000
    760    -2892.000
    770    -2696.000
    780    -2888.000
    790    -2840.000
    800    -2792.000
    810    -2724.000
    820    -2844.000
    830    -2820.000
    840    -2788.000
    850    -2876.000
    860    -2808.000
    870    -2772.000
    880    -2728.000
    890    -2728.000
    900    -2764.000
    910    -2864.000
    920    -2636.000
    930    -2792.000
    940    -2876.000
    950    -2820.000
    960    -2952.000
    970    -2720.000
    980    -2744.000
    990    -2792.000
   1000    -2844.000
   1010    -2668.000
   1020    -2780.000
   1030    -2700.000
   1040    -2760.000
   1050    -2776.000
   1060    -2840.000
   1070    -2884.000
   1080    -2768.000
   1090    -2676.000
   1100    -2716.000
   1110    -2788.000
   1120    -2808.000
   1130    -2712.000
   1140    -2944.000
   1150    -2832.000
   1160    -2844.000
   1170    -2860.000
   1180    -2744.000
   1190    -2840.000
   1200    -2752.000
   1210    -2752.000
   1220    -2796.000
   1230    -2884.000
   1240    -2784.000
   1250    -2776.000
   1260    -2724.000
   1270    -2736.000
   1280    -2792.000
   1290    -2732.000
   1300    -2744.000
   1310    -2884.000
   1320    -2804.000
   1330    -2748.000
   1340    -2760.000
   1350    -2972.000
   1360    -2824.000
   1370    -2832.000
   1380    -2808.000
   1390    -2920.000
   1400    -2756.000
   1410    -2752.000
   1420    -2900.000
   1430    -2656.000
   1440    -2788.000
   1450    -2732.000
   1460    -2792.000
   1470    -2840.000
   1480    -2772.000
   1490    -2712.000
   1500    -2640.000
   1510    -2852.000
   1520    -2676.000
   1530    -2812.000
   1540    -2688.000
   1550    -2732.000
   1560    -2804.000
   1570    -2736.000
   1580    -2736.000
   1590    -2760.000
   1600    -2856.000
   1610    -2840.000
   1620    -2772.000
   1630    -2864.000
   1640    -2672.000
   1650    -2816.000
   1660    -2816.000
   1670    -2952.000
   1680    -2760.000
   1690    -2824.000
   1700    -2864.000
   1710    -2864.000
   1720    -2792.000
   1730    -2620.000
   1740    -2772.000
   1750    -2712.000
   1760    -2700.000
   1770    -2820.000
   1780    -2752.000
   1790    -2916.000
   1800    -2684.000
   1810    -2680.000
   1820    -2816.000
   1830    -2780.000
   1840    -2864.000
   1850    -2816.000
   1860    -2892.000
   1870    -2780.000
   1880    -2748.000
   1890    -2832.000
   1900    -2796.000
   1910    -2704.000
   1920    -2928.000
   1930    -2804.000
   1940    -2676.000
   1950    -2812.000
   1960    -2824.000
   1970    -2804.000
   1980    -2684.000
   1990    -2824.000
   2000    -2796.000
   2010    -2852.000
   2020    -2832.000
   2030    -2788.000
   2040    -2728.000
   2050    -2848.000
   2060    -2868.000
   2070    -2992.000
   2080    -2876.000
   2090    -2828.000
   2100    -2704.000
